mention_a_id	mention_b_id	mention_a	mention_b	sim
86710_201804-275016-03	64110_199911-352087-01	the religious communities	caring communities	0.55090797
86710_201804-275016-03	171101_200907-304782-01	the religious communities	religious leaders	0.59376365
86710_201804-275016-03	171101_199707-302977-01	the religious communities	-marital communities	0.60379124
80710_200506-92749-01	23112_198906-292612-01	financial speculators	Investors	0.5393338
21111_199111-31105-02	171101_199707-302977-01	same-sex couples who marry overseas	-marital communities	0.48677006
51951_200106-233833-02	61620_201211-429725-01	Rainbow families	rainbow communities	0.7511463
51620_198306-224371-01	86421_199805-256555-02	Non-smokers	people without health insurance	0.49229932
64110_201409-356406-01	21914_199906-50173-02	striking workers	Flex workers	0.567556
64110_201409-356406-01	22110_199405-313749-01	striking workers	white and blue-collar workers	0.61631405
64110_201409-356406-01	171101_200907-305290-01	striking workers	The guest workers	0.5402297
51951_201706-247381-01	21914_199906-50173-02	Sick workers	Flex workers	0.47793597
51951_201706-247381-01	22110_199405-313749-01	Sick workers	white and blue-collar workers	0.5499156
51951_201706-247381-01	171101_200907-305290-01	Sick workers	The guest workers	0.56603384
51951_201706-247381-01	64110_201409-356406-01	Sick workers	striking workers	0.6192931
12951_201309-343999-06	61620_201211-430722-01	case managers	Equality officers	0.46124882
64110_201409-355437-02	42110_199010-04591-01	a two- or three-class society	second-class citizens	0.60177255
22110_200205-317130-03	21111_200706-58836-07	million people	the housing population	0.46177122
21112_201405-79872-02	21111_200706-58836-07	8.5 million inhabitants	the housing population	0.52561086
21112_201405-79872-02	22110_200205-317130-03	8.5 million inhabitants	million people	0.6441537
21112_200706-64508-02	42420_201710-19520-01	the woman	housewife	0.48388425
22110_200205-317982-05	21111_200706-60172-01	non-Dutch-speaking parents	Immigrants who come to the Netherlands as part of family formation	0.65138996
22110_200205-318438-01	64110_201409-355437-02	A climate-neutral society	a two- or three-class society	0.48398966
31720_200706-215921-01	21111_200706-58010-01	the delegations	The rulers	0.5442084
31720_200706-215921-01	34710_200709-253014-01	the delegations	contractual officials	0.53868914
31720_200706-215921-01	22110_200205-316552-01	the delegations	representatives of non-governmental organizations	0.5225351
31720_200706-215921-01	32720_201803-288750-01	the delegations	Lobbyists	0.49599487
97330_201112-388130-01	64110_201409-355437-02	the so-called shadow society	a two- or three-class society	0.45547247
21112_201405-79346-01	22110_200205-317130-03	thousands of	million people	0.603407
22110_200205-317143-03	23112_198906-292612-01	debtors	Investors	0.48218292
22110_200205-317143-03	34710_200709-253014-01	debtors	contractual officials	0.46178958
22110_200205-317143-03	31720_200706-213203-02	debtors	-indebted persons	0.5263579
22110_200205-317143-03	80710_200506-92749-01	debtors	financial speculators	0.48389253
21112_198712-29956-01	97710_201112-388710-01	growing	the growing group of	0.6587978
21111_200706-62468-02	171101_200907-305290-01	hosts	The guest workers	0.5092765
21914_200706-68028-01	64110_201409-355437-02	an information society	a two- or three-class society	0.45907554
22110_198909-311303-01	86421_199805-256480-02	A legal society	rule of law	0.5490246
22110_198909-311303-01	64110_201409-355437-02	A legal society	a two- or three-class society	0.5113511
22110_198909-311303-01	21914_200706-68028-01	A legal society	an information society	0.54040647
22110_200205-318061-01	64110_201409-355437-02	A mobile society	a two- or three-class society	0.47914433
22110_200205-318061-01	21914_200706-68028-01	A mobile society	an information society	0.5927938
22110_200205-318061-01	22110_198909-311303-01	A mobile society	A legal society	0.5347159
21112_201405-88552-04	21111_200706-58010-01	nationalists	The rulers	0.4676401
21914_199111-35789-02	64110_201409-355437-02	a pluriform society	a two- or three-class society	0.53921974
21914_199111-35789-02	21914_200706-68028-01	a pluriform society	an information society	0.48870605
86110_201404-268377-02	21914_199906-50173-02	street corner workers	Flex workers	0.492575
86110_201404-268377-02	22110_199405-313749-01	street corner workers	white and blue-collar workers	0.54424375
86110_201404-268377-02	171101_200907-305290-01	street corner workers	The guest workers	0.4561206
86110_201404-268377-02	64110_201409-356406-01	street corner workers	striking workers	0.47625524
86110_201404-268377-02	51951_201706-247381-01	street corner workers	Sick workers	0.50718653
61320_199611-417993-03	41113_201309-154787-03	A student under 24 years old not living with their parents	parents in parental leave	0.50701344
61320_199611-417993-03	61620_200411-425693-01	A student under 24 years old not living with their parents	18-24 year olds currently enrolled in higher education	0.5679201
11110_198809-390664-04	61620_198811-414918-02	ADF personnel	recruiters	0.47592306
14820_201904-206064-02	86421_199805-256555-02	People with HIV or AIDS	people without health insurance	0.48984957
23113_200406-298099-01	21112_201405-79346-01	all of them	thousands of	0.54861534
23113_200406-298099-01	92436_201910-369734-01	all of them	ALL	0.6319279
97330_201407-388991-02	92436_201910-369734-01	ALL OF US	ALL	0.47496068
97330_201407-388991-02	23113_200406-298099-01	ALL OF US	all of them	0.54833966
43951_199110-98821-02	21111_201006-72725-02	animals	animal police	0.7248298
61320_201611-431137-04	23112_198906-292612-01	Account holders	Investors	0.45384026
61320_201611-431137-04	13720_200111-190077-01	Account holders	occupying owners	0.47710916
61320_201611-431137-04	22110_200205-317143-03	Account holders	debtors	0.5095785
14820_201904-204516-02	22110_200205-317143-03	accountants	debtors	0.47730172
14820_201904-204516-02	61320_201611-431137-04	accountants	Account holders	0.5052147
86710_201004-266702-03	21112_200706-65368-02	Active	á	0.465527
61320_200011-419956-03	86110_201004-262547-02	Actors	Journalists	0.45870402
21111_199111-33071-01	61320_200011-419956-03	actors in the field	Actors	0.7962128
35120_201910-375089-02	61620_200411-425693-01	Adults wishing to return to education	18-24 year olds currently enrolled in higher education	0.48713118
92436_201110-364184-02	21111_201006-76127-01	Advisors	reformists	0.46223283
92436_201110-364184-02	23112_198906-292612-01	Advisors	Investors	0.49715066
92436_201110-364184-02	11110_198809-390664-04	Advisors	ADF personnel	0.4711001
92436_201110-364184-02	14820_201904-204516-02	Advisors	accountants	0.46783936
34710_200709-253004-03	97710_201112-388802-01	The Afghan people	detainees	0.5246126
64110_201409-353830-03	34710_200709-253004-03	Afghan security forces	The Afghan people	0.6947933
61320_197211-401951-02	12951_200509-337626-01	Black children	ninth-grade students	0.5057394
171101_200907-305256-02	171101_200907-304782-01	the leaders of the South African people	religious leaders	0.5008821
31720_200706-215353-06	97710_201112-388705-06	American Indian/Alaska Natives	Aborigines	0.4755354
12951_199309-332244-02	34710_200709-253004-03	the Cuban people	The Afghan people	0.5828353
31720_198603-206960-02	35120_201910-375890-03	Agents	inspectors	0.47744995
31720_198603-206960-02	32110_199403-281849-01	Agents	business angels	0.45671612
31720_198603-206960-02	61320_200011-419956-03	Agents	Actors	0.53744066
31720_198603-206960-02	21111_199111-33071-01	Agents	actors in the field	0.46798187
31720_198603-206960-02	92436_201110-364184-02	Agents	Advisors	0.5158423
42110_201710-18415-02	31720_200706-215921-01	marshals	the delegations	0.61430585
171101_200306-303069-02	97710_201112-388710-01	people of advanced age	the growing group of	0.46189535
171101_200306-303069-02	22722_200611-322724-01	people of advanced age	third-age people	0.6220746
171101_200306-303069-02	21112_200706-64668-02	people of advanced age	men over 50 years of age	0.48365143
171101_200306-303069-02	64110_201409-355440-02	people of advanced age	the baby boomers	0.5088505
21111_201006-74639-01	43951_199110-98821-02	the black sheep	animals	0.47176495
21111_201006-74639-01	61320_197211-401951-02	the black sheep	Black children	0.4615218
21914_198111-24347-03	23113_200406-298099-01	All chickens	all of them	0.46124056
41953_202109-179723-02	61320_202011-433806-01	all refusers of military service	refuseniks	0.51027405
51620_200106-232799-03	61320_199611-417993-03	mothers over 60 years old without their own pension	A student under 24 years old not living with their parents	0.47904277
51620_201912-250236-03	42710_200610-13943-01	nationals	third-country nationals	0.58543456
14820_201104-200823-02	97710_201112-388710-01	Newcomers	the growing group of	0.49242795
14820_201104-200823-02	97710_201112-388698-01	Newcomers	-language newcomers	0.72127235
41320_200909-149451-02	21111_200706-60172-01	Criminals with a non-Dutch nationality	Immigrants who come to the Netherlands as part of family formation	0.5310863
41320_200909-149451-02	51951_200106-233483-03	Criminals with a non-Dutch nationality	-time criminals	0.49488187
41320_200909-149451-02	22110_200205-317982-05	Criminals with a non-Dutch nationality	non-Dutch-speaking parents	0.52470034
51620_201505-241315-02	61620_201211-430722-01	All police officers	Equality officers	0.45173705
51620_201505-241315-02	21111_201006-74339-01	All police officers	educated police officers	0.6128404
21914_199906-48690-02	14820_201904-206064-02	people at risk	People with HIV or AIDS	0.49897072
21914_199906-48690-02	171101_200306-303069-02	people at risk	people of advanced age	0.45853433
21914_199906-48758-02	23113_200406-298099-01	All plaintiffs	all of them	0.45365825
21914_198712-30708-02	21111_200706-59253-01	residents of institutions	future residents	0.57683307
21914_198712-30708-02	42110_199010-04591-01	residents of institutions	second-class citizens	0.46064228
21914_198712-30708-02	22110_200205-316552-01	residents of institutions	representatives of non-governmental organizations	0.5262409
51951_201706-247239-02	23112_198906-292612-01	stakeholders	Investors	0.52032703
51951_201706-247239-02	22110_200205-316552-01	stakeholders	representatives of non-governmental organizations	0.5094917
51951_201706-247239-02	32720_201803-288750-01	stakeholders	Lobbyists	0.54470736
51951_201706-247239-02	31720_200706-215921-01	stakeholders	the delegations	0.45672458
51951_201706-247239-02	31720_200206-210090-02	stakeholders	almost all healthcare stakeholders	0.6800463
22722_200611-322729-03	21112_201405-79346-01	almost everyone	thousands of	0.45945197
22722_200611-322729-03	97330_201407-388991-02	almost everyone	ALL OF US	0.60085976
61620_199611-419049-03	31720_200706-216359-03	the grassroots of America	the oligarchs	0.45730126
61320_201611-431080-02	23112_198906-292612-01	the innovators	Investors	0.47267658
61320_201611-431080-02	21914_199906-49375-01	the innovators	makers	0.46288544
61320_201611-431080-02	31720_198603-206960-02	the innovators	Agents	0.45316747
61320_200811-427181-02	171101_199707-302963-01	Motorists	non-motorized persons	0.638425
62110_200810-97125-02	97710_201112-388705-06	settlers	Aborigines	0.45770305
62110_200810-97125-02	31720_200706-215353-06	settlers	American Indian/Alaska Natives	0.49246252
61620_201611-432426-02	97710_201112-388802-01	American Muslims	detainees	0.4887088
61620_201611-432426-02	34710_200709-253004-03	American Muslims	The Afghan people	0.48107758
61620_201611-432426-02	51951_201706-247005-02	American Muslims	poor Americans	0.50177646
51620_201912-250202-02	61620_198811-414918-02	Marines	recruiters	0.5049417
61620_200411-425725-02	23112_198906-292612-01	bankers	Investors	0.5452353
61620_200411-425725-02	32110_199403-281849-01	bankers	business angels	0.46320218
61620_200411-425725-02	34710_200709-253014-01	bankers	contractual officials	0.46239382
61620_200411-425725-02	80710_200506-92749-01	bankers	financial speculators	0.5426507
61620_200411-425725-02	22110_200205-317143-03	bankers	debtors	0.6016956
61620_200411-425725-02	61320_201611-431137-04	bankers	Account holders	0.515336
61620_200411-425725-02	14820_201904-204516-02	bankers	accountants	0.6499624
61620_200411-425725-02	92436_201110-364184-02	bankers	Advisors	0.51329136
61620_197211-403676-02	86110_201004-262547-02	Criminologists	Journalists	0.47377294
61320_201611-431170-05	97710_201112-388802-01	hostages	detainees	0.6004735
86710_201404-272751-02	21112_201405-79918-01	intellectuals	A cosmopolitan elite	0.4560672
86710_201404-272751-02	171101_200306-303069-02	intellectuals	people of advanced age	0.4874509
61620_200011-421778-03	34710_200709-253014-01	the negotiators	contractual officials	0.53498024
61620_200011-421778-03	31720_200706-215921-01	the negotiators	the delegations	0.5186103
61620_200011-421778-03	22110_200205-317143-03	the negotiators	debtors	0.5017219
61620_200011-421778-03	31720_198603-206960-02	the negotiators	Agents	0.47851962
61620_200011-421778-03	53110_199706-276644-02	the negotiators	Intermediaries	0.45459247
61620_200011-421778-03	51951_201706-247239-02	the negotiators	stakeholders	0.45394042
61620_200011-421778-03	61320_201611-431080-02	the negotiators	the innovators	0.51395726
61620_200011-421778-03	61620_200411-425725-02	the negotiators	bankers	0.4917521
12951_200909-340644-03	64110_201409-356406-01	workers threatened by foreign competition	striking workers	0.49914324
61320_202011-434723-02	61620_199611-419049-03	Americans of every political stripe	the grassroots of America	0.47242412
61320_202011-434723-02	51951_201706-247005-02	Americans of every political stripe	poor Americans	0.5024869
13720_201109-193573-02	97710_201112-388802-01	those who died in the cause of freedom	detainees	0.52145636
13720_201109-193573-02	34710_200709-253004-03	those who died in the cause of freedom	The Afghan people	0.50849783
13720_201109-193573-02	12951_199309-332244-02	those who died in the cause of freedom	the Cuban people	0.46229494
86421_199805-259574-03	51951_201706-247005-02	Americans who need it most	poor Americans	0.47794765
86421_199805-259574-03	61320_202011-434723-02	Americans who need it most	Americans of every political stripe	0.47672147
61620_199611-418580-02	23112_198906-292612-01	Polish investors	Investors	0.67345834
51320_197905-222136-02	42110_199010-05933-01	inventors	craftsmen	0.5081763
51320_197905-222136-02	21914_199906-49375-01	inventors	makers	0.57918274
51320_197905-222136-02	61320_201611-431080-02	inventors	the innovators	0.526047
82710_199605-112751-02	171101_200306-303069-02	an enlightened population	people of advanced age	0.46726602
82710_199605-112751-02	86710_201404-272751-02	an enlightened population	intellectuals	0.53503203
82710_199605-112833-02	43951_199110-98821-02	breeders	animals	0.4944315
96710_201203-381351-02	21111_201006-72725-02	Animal traffickers	animal police	0.73415774
96710_201203-381351-02	43951_199110-98821-02	Animal traffickers	animals	0.62239254
35120_201910-375440-02	21914_199906-48690-02	Those who cause environmental damage	people at risk	0.4560758
82110_201005-115178-02	92436_201910-369734-01	anyone	ALL	0.45727956
82110_201005-115178-02	22722_200611-322729-03	anyone	almost everyone	0.5466918
92436_200509-360952-02	97330_201407-388991-02	anyone else	ALL OF US	0.48917365
92436_200509-360952-02	22722_200611-322729-03	anyone else	almost everyone	0.59222317
92436_200509-360952-02	82110_201005-115178-02	anyone else	anyone	0.6874727
41320_202109-176555-02	42110_199910-09254-02	those who do not have the right to protection	non-consentable individuals	0.47189742
41320_202109-176555-02	21914_199906-48690-02	those who do not have the right to protection	people at risk	0.52337426
41320_202109-176555-02	35120_201910-375440-02	those who do not have the right to protection	Those who cause environmental damage	0.4598722
51951_200106-233633-03	92436_201910-369734-01	interested	ALL	0.45389372
51951_200106-233633-03	86710_201004-266702-03	interested	Active	0.456374
11320_201809-400007-02	21914_199906-49375-01	Everyone who creates intellectual property	makers	0.5077745
11320_201809-400007-02	51320_197905-222136-02	Everyone who creates intellectual property	inventors	0.52796644
51951_201706-247146-02	61320_200811-427181-02	Cyclists	Motorists	0.52947974
22110_201703-327267-03	22110_200205-316552-01	those who are not entirely involved	representatives of non-governmental organizations	0.45398605
22110_201703-327267-03	31720_200706-215921-01	those who are not entirely involved	the delegations	0.49668205
22110_201703-327267-03	41320_202109-176555-02	those who are not entirely involved	those who do not have the right to protection	0.47147062
51620_199204-227241-02	21111_200706-59253-01	those who want to stay	future residents	0.50474685
51620_199204-227241-02	22110_201703-327267-03	those who want to stay	those who are not entirely involved	0.4553576
51620_199204-227840-02	35120_201910-375890-03	Architects	inspectors	0.46169
51620_199204-227840-02	42110_199010-05933-01	Architects	craftsmen	0.487157
51620_199204-227840-02	92436_201110-364184-02	Architects	Advisors	0.46471474
51620_199204-227840-02	31720_198603-206960-02	Architects	Agents	0.48333192
51320_197006-219052-03	21111_199111-32722-01	the Armenian people	the Greek citizens	0.48187506
51320_197006-219052-03	97710_201112-388705-06	the Armenian people	Aborigines	0.51286876
51320_197006-219052-03	34710_200709-253004-03	the Armenian people	The Afghan people	0.4773333
41320_200509-143184-02	31720_200706-215353-06	Asian-American and Pacific Islanders	American Indian/Alaska Natives	0.658234
61620_201611-432529-02	22110_200205-316552-01	members of the National Assembly	representatives of non-governmental organizations	0.52915007
41521_201309-161953-02	21111_200706-58836-07	Australian households	the housing population	0.46706465
23112_198906-292869-04	21112_200706-64508-02	WOMEN IN AUSTRALIA	the woman	0.45808554
23112_198906-292869-04	41521_201309-161953-02	WOMEN IN AUSTRALIA	Australian households	0.58830583
51320_197410-220767-03	41320_200509-143184-02	rural and regional Australians	Asian-American and Pacific Islanders	0.46389967
51320_197410-220767-03	41521_201309-161953-02	rural and regional Australians	Australian households	0.64689314
51320_197410-220767-03	23112_198906-292869-04	rural and regional Australians	WOMEN IN AUSTRALIA	0.5961056
41521_201309-160631-02	51951_201706-247146-02	Austrian athletes	Cyclists	0.4672459
21914_200706-70226-02	23112_198906-292612-01	authors	Investors	0.47420102
21914_200706-70226-02	21914_199906-49375-01	authors	makers	0.5058006
21914_200706-70226-02	86110_201004-262547-02	authors	Journalists	0.4668321
21914_200706-70226-02	51320_197905-222136-02	authors	inventors	0.5476452
21914_200706-70226-02	11320_201809-400007-02	authors	Everyone who creates intellectual property	0.45291254
42110_201710-18349-02	55110_201105-110510-02	authorized persons	Recipients	0.49068815
42110_201710-18349-02	42110_199910-09254-02	authorized persons	non-consentable individuals	0.49493954
42110_201710-18349-02	31720_200706-215921-01	authorized persons	the delegations	0.5240843
42110_201710-18349-02	61320_201611-431137-04	authorized persons	Account holders	0.49107713
41521_201309-162049-02	86710_201804-275016-03	Baháís	the religious communities	0.45746264
96710_200606-380509-03	86110_201404-268377-02	the baker in the corner	street corner workers	0.45275205
42110_198611-04248-02	61320_200011-419956-03	dancers	Actors	0.47022387
43810_200710-103762-02	12951_199309-332244-02	the Estonians	the Cuban people	0.5289413
43810_200710-103762-02	61620_197211-403098-02	the Estonians	Latvian youth	0.5645149
43810_200710-103762-02	51320_197006-219052-03	the Estonians	the Armenian people	0.5430949
92436_201910-370091-02	23112_198906-292612-01	money holders	Investors	0.5055988
92436_201910-370091-02	80710_200506-92749-01	money holders	financial speculators	0.4662129
92436_201910-370091-02	22110_200205-317143-03	money holders	debtors	0.58972824
92436_201910-370091-02	61320_201611-431137-04	money holders	Account holders	0.78168905
92436_201910-370091-02	61620_200411-425725-02	money holders	bankers	0.58473176
21914_199906-49173-02	41521_201309-160309-01	beginners	tutor	0.50943184
14820_201504-203228-02	41113_201709-163470-01	European consumers	electricity consumers	0.52870506
80710_201305-94805-02	41521_201309-161953-02	Belgian households	Australian households	0.5892961
61620_199611-418884-02	80710_201305-94805-02	the Belgian taxpayer	Belgian households	0.6195397
14820_201904-206097-03	80710_201305-94805-02	Belgians abroad who wish to vote	Belgian households	0.5454345
14820_201904-206097-03	61620_199611-418884-02	Belgians abroad who wish to vote	the Belgian taxpayer	0.5431683
21914_198712-30723-02	171101_200907-304782-01	religion	religious leaders	0.5616883
21914_198712-30723-02	86710_201804-275016-03	religion	the religious communities	0.6149366
81111_199004-254977-02	21111_200706-58010-01	Billionaires	The rulers	0.47631335
81111_199004-254977-02	23112_198906-292612-01	Billionaires	Investors	0.54451877
81111_199004-254977-02	32720_201803-288750-01	Billionaires	Lobbyists	0.4658361
81111_199004-254977-02	22110_200205-317130-03	Billionaires	million people	0.56769705
81111_199004-254977-02	22110_200205-317143-03	Billionaires	debtors	0.4891333
81111_199004-254977-02	61320_201611-431137-04	Billionaires	Account holders	0.45841986
81111_199004-254977-02	61620_200411-425725-02	Billionaires	bankers	0.5220028
81111_199004-254977-02	51320_197905-222136-02	Billionaires	inventors	0.5539836
81111_199004-254977-02	11320_201809-400007-02	Billionaires	Everyone who creates intellectual property	0.4631019
81111_199004-254977-02	21914_200706-70226-02	Billionaires	authors	0.4658357
81111_199004-254977-02	92436_201910-370091-02	Billionaires	money holders	0.532948
31720_200706-212642-02	21111_200706-60172-01	Black families	Immigrants who come to the Netherlands as part of family formation	0.45369732
31720_200706-212642-02	51951_200106-233833-02	Black families	Rainbow families	0.63815683
31720_200706-212642-02	61320_197211-401951-02	Black families	Black children	0.7357048
31720_200706-212642-02	41320_201309-158011-02	Black families	All living family models	0.45704547
21914_199505-38125-03	61320_197211-401951-02	black men	Black children	0.59396887
21914_199505-38125-03	31720_200706-212642-02	black men	Black families	0.56172657
92436_201510-367389-03	22110_199405-313749-01	white women	white and blue-collar workers	0.46439308
92436_201510-367389-03	21112_200706-64508-02	white women	the woman	0.5270734
92436_201510-367389-03	61320_197211-401951-02	white women	Black children	0.45853317
92436_201510-367389-03	23112_198906-292869-04	white women	WOMEN IN AUSTRALIA	0.54154015
92436_201510-367389-03	31720_200706-212642-02	white women	Black families	0.48144674
92436_201510-367389-03	21914_199505-38125-03	white women	black men	0.58078694
14820_201504-203644-02	23112_198906-292612-01	Borrowers	Investors	0.47593296
14820_201504-203644-02	22110_200205-317143-03	Borrowers	debtors	0.6657133
14820_201504-203644-02	61620_200411-425725-02	Borrowers	bankers	0.52150154
14820_201504-203644-02	92436_201910-370091-02	Borrowers	money holders	0.47198886
11710_201409-399324-03	86710_201804-275016-03	the Balkan Muslims	the religious communities	0.4817225
11710_201409-399324-03	21112_201405-88552-04	the Balkan Muslims	nationalists	0.45442006
11710_201409-399324-03	97710_201112-388705-06	the Balkan Muslims	Aborigines	0.48074833
11710_201409-399324-03	171101_200907-306046-02	the Balkan Muslims	Kosovo Albanians	0.6802416
11710_201409-399324-03	61620_201611-432426-02	the Balkan Muslims	American Muslims	0.5401146
11710_201409-399324-03	51320_197006-219052-03	the Balkan Muslims	the Armenian people	0.5502846
97710_201112-388741-02	51320_197905-222136-02	British scientists and	inventors	0.48949564
42110_201909-20684-02	51320_197905-222136-02	Nobel Prize winners	inventors	0.4520052
11110_201409-397058-02	23112_198906-292612-01	British and inward investors	Investors	0.60542417
11110_201409-397058-02	61620_199611-418580-02	British and inward investors	Polish investors	0.5312067
22110_200301-320332-02	21111_200706-59253-01	Expatriates	future residents	0.46187603
22110_200301-320332-02	42710_200610-13943-01	Expatriates	third-country nationals	0.46010458
21914_198510-27746-02	42710_200610-13943-01	national	third-country nationals	0.48438212
21914_198510-27746-02	21112_201405-88552-04	national	nationalists	0.46146622
21914_198510-27746-02	51620_201912-250236-03	national	nationals	0.56069887
21914_198510-27746-02	61620_201611-432529-02	national	members of the National Assembly	0.47459903
41953_201709-170771-03	64110_201409-355437-02	British society	a two- or three-class society	0.5882204
41953_201709-170771-03	22110_200205-318438-01	British society	A climate-neutral society	0.48749837
41953_201709-170771-03	97330_201112-388130-01	British society	the so-called shadow society	0.47459596
41953_201709-170771-03	21914_200706-68028-01	British society	an information society	0.5145221
41953_201709-170771-03	22110_198909-311303-01	British society	A legal society	0.6020458
41953_201709-170771-03	22110_200205-318061-01	British society	A mobile society	0.47073543
41953_201709-170771-03	21914_199111-35789-02	British society	a pluriform society	0.50870264
41953_201709-170771-03	97710_201112-388741-02	British society	British scientists and	0.504205
21112_200706-62882-02	21914_199505-38125-03	brothers	black men	0.5142206
21112_198510-27408-03	41521_201309-160309-01	Bulgarian Teachers	tutor	0.4834215
21112_198510-27408-03	61620_197211-403098-02	Bulgarian Teachers	Latvian youth	0.45309532
21112_198510-27408-03	51320_197006-219052-03	Bulgarian Teachers	the Armenian people	0.48049885
21112_198510-27408-03	11710_201409-399324-03	Bulgarian Teachers	the Balkan Muslims	0.46822768
41320_200209-139027-02	21111_199111-32722-01	the Bulgarian citizens	the Greek citizens	0.5749168
41320_200209-139027-02	171101_200907-306046-02	the Bulgarian citizens	Kosovo Albanians	0.53917944
41320_200209-139027-02	51620_197402-220388-02	the Bulgarian citizens	Luxembourg residents	0.54216224
41320_200209-139027-02	51320_197006-219052-03	the Bulgarian citizens	the Armenian people	0.6045792
41320_200209-139027-02	43810_200710-103762-02	the Bulgarian citizens	the Estonians	0.48042923
41320_200209-139027-02	11710_201409-399324-03	the Bulgarian citizens	the Balkan Muslims	0.5905358
41320_200209-139027-02	21112_198510-27408-03	the Bulgarian citizens	Bulgarian Teachers	0.7099386
86421_199805-257275-02	14820_201504-203228-02	the Bulgarian consumer	European consumers	0.7240938
86421_199805-257275-02	21112_198510-27408-03	the Bulgarian consumer	Bulgarian Teachers	0.60111344
86421_199805-257275-02	41320_200209-139027-02	the Bulgarian consumer	the Bulgarian citizens	0.71854055
51620_198306-224193-02	61620_199611-418580-02	Bulgarian entrepreneurs and	Polish investors	0.48248374
51620_198306-224193-02	51320_197006-219052-03	Bulgarian entrepreneurs and	the Armenian people	0.47560292
51620_198306-224193-02	11710_201409-399324-03	Bulgarian entrepreneurs and	the Balkan Muslims	0.48148322
51620_198306-224193-02	21112_198510-27408-03	Bulgarian entrepreneurs and	Bulgarian Teachers	0.6836494
51620_198306-224193-02	41320_200209-139027-02	Bulgarian entrepreneurs and	the Bulgarian citizens	0.7638575
51620_198306-224193-02	86421_199805-257275-02	Bulgarian entrepreneurs and	the Bulgarian consumer	0.71765304
23112_198406-291288-03	21111_200706-60172-01	Bulgarian families	Immigrants who come to the Netherlands as part of family formation	0.54371333
23112_198406-291288-03	51951_200106-233833-02	Bulgarian families	Rainbow families	0.47224456
23112_198406-291288-03	171101_200907-306046-02	Bulgarian families	Kosovo Albanians	0.4800095
23112_198406-291288-03	51320_197006-219052-03	Bulgarian families	the Armenian people	0.53554225
23112_198406-291288-03	80710_201305-94805-02	Bulgarian families	Belgian households	0.46612477
23112_198406-291288-03	31720_200706-212642-02	Bulgarian families	Black families	0.5420737
23112_198406-291288-03	11710_201409-399324-03	Bulgarian families	the Balkan Muslims	0.5185095
23112_198406-291288-03	21112_198510-27408-03	Bulgarian families	Bulgarian Teachers	0.6504414
23112_198406-291288-03	41320_200209-139027-02	Bulgarian families	the Bulgarian citizens	0.7488966
23112_198406-291288-03	86421_199805-257275-02	Bulgarian families	the Bulgarian consumer	0.626058
23112_198406-291288-03	51620_198306-224193-02	Bulgarian families	Bulgarian entrepreneurs and	0.6962652
22110_201006-323728-02	31720_200706-215921-01	the members of the Bundeswehr	the delegations	0.4650446
22110_201006-323728-02	42110_201710-18415-02	the members of the Bundeswehr	marshals	0.4617483
22110_201006-323728-02	41953_202109-179723-02	the members of the Bundeswehr	all refusers of military service	0.47074884
22110_201006-323728-02	86421_200204-260497-02	the members of the Bundeswehr	Members of the Bundestag	0.6916863
